Date,High,Low,Open,Close,Volume,MM_indicator,MM_acivity,MM_pf,MM_pf_frais,GAFA_indicator,GAFA_acivity,GAFA_pf,GAFA_pf_frais,AAPL,MSFT,AMZN,vol_indicator,vol_acivity,vol_pf,vol_pf_frais,RSI100_indicator,RSI100_activity,RSI100_pf,RSI100_pf_frais,VIX_indicator,VIX_acivity,VIX_pf,VIX_pf_frais,supermodel_indicator,supermodel_acivity,supermodel_pf,supermodel_pf_frais
1998-01-02,1008.22998046875,987.719970703125,990.7999877929688,1008.22998046875,434140000,,1,1008.22998046875,1008.22998046875,,1,1008.22998046875,1008.22998046875,,,,,1,1008.22998046875,1008.22998046875,,1,1008.22998046875,1008.22998046875,,1,1008.22998046875,1008.22998046875,5,1,1008.22998046875,1008.22998046875
1998-01-05,1028.6199951171875,1007.25,1008.22998046875,1017.4199829101562,681560000,,1,1017.4199829101562,1017.4199829101562,,1,1017.4199829101562,1017.4199829101562,,,,,1,1017.4199829101562,1017.4199829101562,,1,1017.4199829101562,1017.4199829101562,,1,1017.4199829101562,1017.4199829101562,5,1,1017.4199829101562,1017.4199829101562
1998-01-06,1018.219970703125,1001.9400024414062,1017.4199829101562,1006.2899780273438,635700000,,1,1006.2899780273438,1006.2899780273438,,1,1006.2899780273438,1006.2899780273438,,,,,1,1006.2899780273438,1006.2899780273438,,1,1006.2899780273438,1006.2899780273438,,1,1006.2899780273438,1006.2899780273438,5,1,1006.2899780273438,1006.2899780273438
1998-01-07,1006.2899780273438,978.7000122070312,1006.2899780273438,991.1900024414062,691340000,,1,991.1900024414062,991.1900024414062,,1,991.1900024414062,991.1900024414062,,,,,1,991.1900024414062,991.1900024414062,,1,991.1900024414062,991.1900024414062,,1,991.1900024414062,991.1900024414062,5,1,991.1900024414062,991.1900024414062
1998-01-08,1003.7100219726562,982.27001953125,990.969970703125,994.5499877929688,645050000,,1,994.5499877929688,994.5499877929688,,1,994.5499877929688,994.5499877929688,,,,,1,994.5499877929688,994.5499877929688,,1,994.5499877929688,994.5499877929688,,1,994.5499877929688,994.5499877929688,5,1,994.5499877929688,994.5499877929688
1998-01-09,995.510009765625,950.1400146484375,994.5399780273438,956.1900024414062,813460000,,1,956.1900024414062,956.1900024414062,,1,956.1900024414062,956.1900024414062,,,,,1,956.1900024414062,956.1900024414062,,1,956.1900024414062,956.1900024414062,,1,956.1900024414062,956.1900024414062,5,1,956.1900024414062,956.1900024414062
1998-01-12,971.3200073242188,933.010009765625,956.1900024414062,971.1699829101562,698330000,,1,971.1699829101562,971.1699829101562,,1,971.1699829101562,971.1699829101562,,,,,1,971.1699829101562,971.1699829101562,,1,971.1699829101562,971.1699829101562,,1,971.1699829101562,971.1699829101562,5,1,971.1699829101562,971.1699829101562
1998-01-13,995.0499877929688,971.1699829101562,971.1699829101562,995.0499877929688,742030000,,1,995.0499877929688,995.0499877929688,,1,995.0499877929688,995.0499877929688,,,,,1,995.0499877929688,995.0499877929688,,1,995.0499877929688,995.0499877929688,,1,995.0499877929688,995.0499877929688,5,1,995.0499877929688,995.0499877929688
1998-01-14,1001.9400024414062,983.9000244140625,995.0499877929688,996.3699951171875,691680000,,1,996.3699951171875,996.3699951171875,,1,996.3699951171875,996.3699951171875,,,,,1,996.3699951171875,996.3699951171875,,1,996.3699951171875,996.3699951171875,,1,996.3699951171875,996.3699951171875,5,1,996.3699951171875,996.3699951171875
1998-01-15,1004.3599853515625,986.97998046875,996.3699951171875,995.5800170898438,659450000,,1,995.5800170898438,995.5800170898438,,1,995.5800170898438,995.5800170898438,,,,,1,995.5800170898438,995.5800170898438,,1,995.5800170898438,995.5800170898438,,1,995.5800170898438,995.5800170898438,5,1,995.5800170898438,995.5800170898438
